cluster,raw_log
16,"20171223-22:17:52:169|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:52:169|Step_StandReportReceiver|30002312|REPORT : 7101 5070 152103 240"
13,"20171223-22:17:52:848|Step_LSC|30002312|onStandStepChanged 3674"
14,"20171223-22:17:52:855|Step_LSC|30002312|onExtend:1514038673000 1 0 4"
15,"20171223-22:17:53:149|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7101##548578##8661##16256##27316470"
15,"20171223-22:17:53:149|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7102##548579##8661##16256##27317468"
16,"20171223-22:17:53:163|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128810"
16,"20171223-22:17:53:168|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:53:169|Step_StandReportReceiver|30002312|REPORT : 7102 5070 152124 240"
13,"20171223-22:17:53:849|Step_LSC|30002312|onStandStepChanged 3675"
14,"20171223-22:17:53:859|Step_LSC|30002312|onExtend:1514038674000 1 0 4"
15,"20171223-22:17:54:152|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7102##548579##8661##16256##27317468"
15,"20171223-22:17:54:153|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7103##548580##8661##16256##27318472"
16,"20171223-22:17:54:167|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128831"
16,"20171223-22:17:54:175|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:54:176|Step_StandReportReceiver|30002312|REPORT : 7103 5071 152146 240"
13,"20171223-22:17:54:849|Step_LSC|30002312|onStandStepChanged 3676"
14,"20171223-22:17:54:864|Step_LSC|30002312|onExtend:1514038675000 1 0 4"
15,"20171223-22:17:55:153|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7103##548580##8661##16256##27318472"
15,"20171223-22:17:55:154|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7104##548581##8661##16256##27319473"
16,"20171223-22:17:55:162|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128853"
16,"20171223-22:17:55:166|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:55:169|Step_StandReportReceiver|30002312|REPORT : 7104 5072 152167 240"
13,"20171223-22:17:55:348|Step_LSC|30002312|onStandStepChanged 3677"
14,"20171223-22:17:55:381|Step_LSC|30002312|onExtend:1514038676000 1 0 4"
15,"20171223-22:17:55:649|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7104##548581##8661##16256##27319473"
15,"20171223-22:17:55:649|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7105##548582##8661##16256##27319968"
16,"20171223-22:17:55:658|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128874"
16,"20171223-22:17:55:660|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:55:664|Step_StandReportReceiver|30002312|REPORT : 7105 5072 152189 240"
13,"20171223-22:17:56:349|Step_LSC|30002312|onStandStepChanged 3678"
14,"20171223-22:17:56:361|Step_LSC|30002312|onExtend:1514038677000 1 0 4"
15,"20171223-22:17:56:650|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7105##548582##8661##16256##27319968"
15,"20171223-22:17:56:651|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7106##548583##8661##16256##27320969"
16,"20171223-22:17:56:666|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128895"
16,"20171223-22:17:56:671|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:56:678|Step_StandReportReceiver|30002312|REPORT : 7106 5073 152210 240"
13,"20171223-22:17:57:349|Step_LSC|30002312|onStandStepChanged 3679"
14,"20171223-22:17:57:372|Step_LSC|30002312|onExtend:1514038678000 1 0 4"
15,"20171223-22:17:57:650|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7106##548583##8661##16256##27320969"
15,"20171223-22:17:57:650|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7107##548584##8661##16256##27321969"
16,"20171223-22:17:57:659|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128917"
16,"20171223-22:17:57:662|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:57:662|Step_StandReportReceiver|30002312|REPORT : 7107 5074 152231 240"
13,"20171223-22:17:57:849|Step_LSC|30002312|onStandStepChanged 3681"
14,"20171223-22:17:57:862|Step_LSC|30002312|onExtend:1514038678000 2 0 4"
15,"20171223-22:17:58:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7107##548584##8661##16256##27321969"
15,"20171223-22:17:58:151|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038560000##7109##548585##8661##16256##27322469"
16,"20171223-22:17:58:159|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=128960"
16,"20171223-22:17:58:162|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:17:58:167|Step_StandReportReceiver|30002312|REPORT : 7109 5075 152274 240"
13,"20171223-22:17:59:858|Step_LSC|30002312|onStandStepChanged 3683"
14,"20171223-22:17:59:872|Step_LSC|30002312|onExtend:1514038680000 2 0 4"
13,"20171223-22:18:0:134|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.TIME_TICK"
15,"20171223-22:18:0:158|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038560000##7109##548585##8661##16256##27322469"
15,"20171223-22:18:0:159|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478"
16,"20171223-22:18:0:168|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=129002"
16,"20171223-22:18:0:171|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:18:0:172|Step_StandReportReceiver|30002312|REPORT : 7111 5077 152317 240"
13,"20171223-22:18:1:349|Step_LSC|30002312|onStandStepChanged 3684"
14,"20171223-22:18:1:361|Step_LSC|30002312|onExtend:1514038682000 1 0 4"
15,"20171223-22:18:1:649|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038620000##7111##548640##8661##16256##27324478"
15,"20171223-22:18:1:650|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038620000##7112##548695##8661##16256##27325968"
16,"20171223-22:18:1:659|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=129024"
16,"20171223-22:18:1:663|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:18:1:664|Step_StandReportReceiver|30002312|REPORT : 7112 5077 152339 240"
13,"20171223-22:18:2:349|Step_LSC|30002312|onStandStepChanged 3685"
14,"20171223-22:18:2:363|Step_LSC|30002312|onExtend:1514038683000 1 0 4"
15,"20171223-22:18:2:649|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038620000##7112##548695##8661##16256##27325968"
15,"20171223-22:18:2:650|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038620000##7113##548750##8661##16256##27326969"
16,"20171223-22:18:2:659|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=129045"
16,"20171223-22:18:2:661|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:18:2:662|Step_StandReportReceiver|30002312|REPORT : 7113 5078 152360 240"
13,"20171223-22:18:5:351|Step_LSC|30002312|onStandStepChanged 3686"
14,"20171223-22:18:5:358|Step_LSC|30002312|onExtend:1514038686000 1 0 4"
15,"20171223-22:18:5:653|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038620000##7113##548750##8661##16256##27326969"
15,"20171223-22:18:5:653|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038620000##7114##548805##8661##16256##27329972"
16,"20171223-22:18:5:673|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=129067"
16,"20171223-22:18:5:684|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
14,"20171223-22:18:5:684|Step_StandReportReceiver|30002312|REPORT : 7114 5079 152381 240"
13,"20171223-22:18:5:849|Step_LSC|30002312|onStandStepChanged 3686"
14,"20171223-22:18:5:854|Step_LSC|30002312|onExtend:1514038686000 0 0 0"
15,"20171223-22:18:6:150|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038620000##7114##548805##8661##16256##27329972"
15,"20171223-22:18:6:151|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038620000##7114##548860##8661##16256##27330470"
16,"20171223-22:18:6:164|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=129067"
16,"20171223-22:18:6:168|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240"
13,"20171223-22:19:0:138|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.TIME_TICK"
13,"20171223-22:19:7:854|Step_LSC|30002312|onStandStepChanged 3689"
14,"20171223-22:19:7:865|Step_LSC|30002312|onExtend:1514038748000 3 0 4"
15,"20171223-22:19:8:155|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038620000##7114##548860##8661##16256##27330470"
15,"20171223-22:19:8:156|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038680000##7117##548865##8661##16256##27392475"
20,"Jun 29 14:44:35 combo ftpd[15920]: connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005"
20,"Jun 29 14:44:35 combo ftpd[15921]: connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005"
20,"Jun 30 04:03:41 combo su(pam_unix)[17407]: session opened for user cyrus by (uid=0)"
18,"Jun 30 04:03:42 combo su(pam_unix)[17407]: session closed for user cyrus"
23,"Jun 30 04:03:43 combo logrotate: ALERT exited abnormally with [1]"
20,"Jun 30 04:09:30 combo su(pam_unix)[17778]: session opened for user news by (uid=0)"
18,"Jun 30 04:09:31 combo su(pam_unix)[17778]: session closed for user news"
18,"Jun 30 12:48:38 combo sshd(pam_unix)[18559]: check pass; user unknown"
17,"Jun 30 12:48:38 combo sshd(pam_unix)[18559]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18557]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18557]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18550]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18550]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18547]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18547]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18549]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18549]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18545]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18545]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18548]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18548]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
18,"Jun 30 12:48:41 combo sshd(pam_unix)[18546]: check pass; user unknown"
17,"Jun 30 12:48:41 combo sshd(pam_unix)[18546]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl"
17,"Jun 30 19:03:00 combo sshd(pam_unix)[19088]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:00 combo sshd(pam_unix)[19094]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:00 combo sshd(pam_unix)[19087]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:01 combo sshd(pam_unix)[19093]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:01 combo sshd(pam_unix)[19085]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:03 combo sshd(pam_unix)[19091]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:04 combo sshd(pam_unix)[19099]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:04 combo sshd(pam_unix)[19101]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:05 combo sshd(pam_unix)[19103]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 19:03:07 combo sshd(pam_unix)[19097]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root"
17,"Jun 30 20:16:17 combo sshd(pam_unix)[19202]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root"
17,"Jun 30 20:16:17 combo sshd(pam_unix)[19203]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root"
17,"Jun 30 20:16:26 combo sshd(pam_unix)[19209]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root"
17,"Jun 30 20:16:26 combo sshd(pam_unix)[19208]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root"
17,"Jun 30 20:16:30 combo sshd(pam_unix)[19222]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root"
21,"Jun 30 20:53:04 combo klogind[19272]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19272]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19287]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19287]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19286]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19286]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19271]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19271]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19270]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19270]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19269]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
31,"Jun 30 20:53:04 combo klogind[19269]: Kerberos authentication failed"
21,"Jun 30 20:53:04 combo klogind[19268]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
21,"Jun 30 20:53:04 combo klogind[19288]: Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code"
21,"Jun 30 20:53:04 combo klogind[19274]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:04 combo klogind[19268]: Kerberos authentication failed"
31,"Jun 30 20:53:04 combo klogind[19288]: Kerberos authentication failed"
31,"Jun 30 20:53:04 combo klogind[19274]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19266]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19266]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19267]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19267]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19278]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19278]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19273]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19273]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19276]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19276]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19275]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19275]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19277]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19277]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19279]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19279]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19280]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
21,"Jun 30 20:53:06 combo klogind[19281]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
21,"Jun 30 20:53:06 combo klogind[19282]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19280]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19283]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19281]: Kerberos authentication failed"
21,"Jun 30 20:53:06 combo klogind[19285]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
21,"Jun 30 20:53:06 combo klogind[19284]: Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort"
31,"Jun 30 20:53:06 combo klogind[19282]: Kerberos authentication failed"
31,"Jun 30 20:53:06 combo klogind[19283]: Kerberos authentication failed"
31,"Jun 30 20:53:06 combo klogind[19285]: Kerberos authentication failed"
31,"Jun 30 20:53:06 combo klogind[19284]: Kerberos authentication failed"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19432]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19431]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19433]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19434]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19435]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19436]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19438]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19437]: session opened for user test by (uid=509)"
18,"Jun 30 22:16:32 combo sshd(pam_unix)[19432]: session closed for user test"
18,"Jun 30 22:16:32 combo sshd(pam_unix)[19431]: session closed for user test"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19439]: session opened for user test by (uid=509)"
20,"Jun 30 22:16:32 combo sshd(pam_unix)[19440]: session opened for user test by (uid=509)"
18,"Jun 30 22:16:32 combo sshd(pam_unix)[19434]: session closed for user test"
18,"Jun 30 22:16:32 combo sshd(pam_unix)[19435]: session closed for user test"
18,"Jun 30 22:16:33 combo sshd(pam_unix)[19433]: session closed for user test"
18,"Jun 30 22:16:33 combo sshd(pam_unix)[19436]: session closed for user test"
35,"Jul  3 13:48:22 authorMacBook-Pro configd[53]: setting hostname to ""authorMacBook-Pro.local"""
21,"Jul  3 13:48:39 calvisitor-10-105-160-237 corecaptured[33452]: CCFile::captureLogRun Skipping current file Dir file [2017-07-03_13,48,39.362458]-CCIOReporter-002.xml, Current File [2017-07-03_13,48,39.362458]-CCIOReporter-002.xml"
35,"Jul  3 13:50:09 authorMacBook-Pro networkd[195]: __42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc20795 14.17.42.14:14000"
28,"Jul  3 13:50:14 authorMacBook-Pro corecaptured[33452]: CCFile::copyFile fileName is [2017-07-03_13,48,39.308188]-io80211Family-002.pcapng, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/IO80211AWDLPeerManager//[2017-07-03_13,48,39.308188]-io80211Family-002.pcapng, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-03_13,50,14.954481]=AssocFail:sts:2_rsn:0/IO80211AWDLPeerManager//[2017-07-03_13,48,39.308188]-io80211Family-002.pcapng"
-1,"Jul  3 13:50:15 authorMacBook-Pro kernel[0]: ARPT: 682068.402171: framerdy 0x0 bmccmd 7 framecnt 1024"
-1,"Jul  3 13:51:03 authorMacBook-Pro QQ[10018]: tcp_connection_handle_connect_conditions_bad 20835 failed: 3 - No network route"
-1,"Jul  3 13:51:03 authorMacBook-Pro QQ[10018]: tcp_connection_handle_connect_conditions_bad 20851 failed: 3 - No network route"
20,"Jul  3 13:51:32 calvisitor-10-105-160-237 com.apple.AddressBook.InternetAccountsBridge[33469]: dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted"
-1,"Jul  3 13:53:27 authorMacBook-Pro kernel[0]: IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO"
20,"Jul  3 13:53:39 calvisitor-10-105-160-237 kernel[0]: IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)"
20,"Jul  3 13:53:53 calvisitor-10-105-160-237 sandboxd[129] ([33476]): com.apple.Addres(33476) deny network-outbound /private/var/run/mDNSResponder"
21,"Jul  3 13:54:18 calvisitor-10-105-160-237 identityservicesd[272]: <IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES"
22,"Jul  3 13:54:35 calvisitor-10-105-160-237 WindowServer[184]: send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out."
21,"Jul  3 13:54:36 calvisitor-10-105-160-237 symptomsd[215]: -[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record."
22,"Jul  3 13:54:53 calvisitor-10-105-160-237 kernel[0]: IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO"
22,"Jul  3 13:55:56 calvisitor-10-105-160-237 sharingd[30299]: 13:55:56.094 : Starting AirDrop server for user 501 on wake"
20,"Jul  3 14:20:59 calvisitor-10-105-160-237 kernel[0]: Sandbox: com.apple.Addres(33493) deny(1) network-outbound /private/var/run/mDNSResponder"
22,"Jul  3 14:34:22 calvisitor-10-105-160-237 kernel[0]: AppleCamIn::systemWakeCall - messageType = 0xE0000340"
22,"Jul  3 14:35:17 calvisitor-10-105-160-237 kernel[0]: ARPT: 682406.173418: wl0: setup_keepalive: Remote IP: 17.249.28.77"
22,"Jul  3 14:47:59 calvisitor-10-105-160-237 kernel[0]: ARPT: 682407.704265: wl0: wl_update_tcpkeep_seq: Original Seq: 1181052579, Ack: 1862377178, Win size: 4096"
21,"Jul  3 14:47:59 calvisitor-10-105-160-237 kernel[0]: RTC: Maintenance 2017/7/3 21:47:58, sleep 2017/7/3 21:35:20"
20,"Jul  3 14:48:22 calvisitor-10-105-160-237 kernel[0]: Sandbox: com.apple.Addres(33508) deny(1) network-outbound /private/var/run/mDNSResponder"
22,"Jul  3 15:01:36 calvisitor-10-105-160-237 kernel[0]: ARPT: 682466.260119: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on."
19,"Jul  3 15:01:36 calvisitor-10-105-160-237 Dock[307]: -[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-03 22:01:36 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319)"
21,"Jul  3 15:01:36 calvisitor-10-105-160-237 kernel[0]: ARPT: 682468.243050: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake"
22,"Jul  3 15:01:36 calvisitor-10-105-160-237 kernel[0]: ARPT: 682468.243133: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]"
22,"Jul  3 15:15:13 calvisitor-10-105-160-237 kernel[0]: Bluetooth -- LE is supported - Disable LE meta event"
25,"Jul  3 15:15:31 calvisitor-10-105-160-237 secd[276]:  SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
21,"Jul  3 15:15:34 calvisitor-10-105-160-237 com.apple.AddressBook.InternetAccountsBridge[33518]: dnssd_clientstub ConnectToServer: connect()-> No of tries: 3"
21,"Jul  3 15:28:51 calvisitor-10-105-160-237 com.apple.WebKit.WebContent[32778]: <<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 4812 bytes @ 358800 took 1.053312 secs. to complete, 5 reads >= 1 sec."
22,"Jul  3 15:28:56 calvisitor-10-105-160-237 kernel[0]: AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0"
20,"Jul  3 15:42:36 calvisitor-10-105-160-237 sandboxd[129] ([33523]): com.apple.Addres(33523) deny network-outbound /private/var/run/mDNSResponder"
22,"Jul  3 15:42:59 calvisitor-10-105-160-237 kernel[0]: ARPT: 682634.998705: wl0: setup_keepalive: Remote IP: 17.249.28.93"
22,"Jul  3 15:46:27 calvisitor-10-105-160-237 kernel[0]: AppleCamIn::wakeEventHandlerThread"
-1,"Jul  3 15:46:27 authorMacBook-Pro kernel[0]: ARPT: 682638.445688: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake"
20,"Jul  3 15:46:28 authorMacBook-Pro networkd[195]: -[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID"
20,"Jul  3 15:46:29 authorMacBook-Pro UserEventAgent[43]: Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive)"
21,"Jul  3 15:46:31 calvisitor-10-105-160-237 configd[53]: network changed: v4(en0:10.105.160.237) v6(en0!:2607:f140:6000:8:f1dc:a608:863:19ad) DNS Proxy SMB"
22,"Jul  3 15:47:12 calvisitor-10-105-160-237 corecaptured[33533]: Received Capture Event"
22,"Jul  3 15:47:13 calvisitor-10-105-160-237 corecaptured[33533]: CCFile::captureLog Received Capture notice id: 1499122032.492037, reason = AuthFail:sts:5_rsn:0"
